cohort,urm,freshman_transfer,cohort_major_desc,deg_major_desc,headcount
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,NEUROSCIENCE                                                                                                            ,6
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,No Degree,10
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,NURSING-PRELICENSURE                                                                                                    ,1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,PHYSICS                                                                                                                 ,1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,PHYSIOLOGICAL SCIENCE                                                                                                   ,12
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,POLITICAL SCIENCE                                                                                                       ,1
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,PSYCHOBIOLOGY                                                                                                           ,8
2010-11,Non-URM,Freshman,BIOCHEMISTRY                                                                                                            ,PSYCHOLOGY                                                                                                              ,3
2010-11,Non-URM,Freshman,BIOPHYSICS                                                                                                              ,APPLIED MATHEMATICS                                                                                                     ,1
2010-11,Non-URM,Freshman,BIOPHYSICS                                                                                                              ,ELECTRICAL ENGINEERING                                                                                                  ,1
2010-11,Non-URM,Freshman,BIOPHYSICS                                                                                                              ,ENVIRONMENTAL SCIENCE                                                                                                   ,1
2010-11,Non-URM,Freshman,BIOPHYSICS                                                                                                              ,NEUROSCIENCE                                                                                                            ,1
2010-11,Non-URM,Freshman,BIOPHYSICS                                                                                                              ,PHYSIOLOGICAL SCIENCE                                                                                                   ,2
2010-11,Non-URM,Freshman,BIOPHYSICS                                                                                                              ,POLITICAL SCIENCE                                                                                                       ,2
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,ANTHROPOLOGY                                                                                                            ,2
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,ANTHROPOLOGY-BS                                                                                                         ,1
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,ASTROPHYSICS                                                                                                            ,1
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,ATMOSPHERIC AND OCEANIC SCIENCES                                                                                        ,2
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,BIOCHEMISTRY                                                                                                            ,8
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,BIOLOGY                                                                                                                 ,3
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,BIOPHYSICS                                                                                                              ,1
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,BUSINESS ECONOMICS                                                                                                      ,1
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,CHEMICAL ENGINEERING                                                                                                    ,5
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,CHEMISTRY                                                                                                               ,13
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,1
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,COMPARATIVE LITERATURE                                                                                                  ,1
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,COMPUTER SCIENCE                                                                                                        ,1
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,"ECOLOGY, BEHAVIOR, AND EVOLUTION                                                                                        ",1
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,ECONOMICS                                                                                                               ,2
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,ELECTRICAL ENGINEERING                                                                                                  ,1
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,ENGLISH                                                                                                                 ,2
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,ENVIRONMENTAL SCIENCE                                                                                                   ,4
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,GEOGRAPHY                                                                                                               ,1
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,LINGUISTICS                                                                                                             ,1
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,MATERIALS ENGINEERING                                                                                                   ,1
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,MECHANICAL ENGINEERING                                                                                                  ,1
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",1
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",3
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,NEUROSCIENCE                                                                                                            ,2
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,No Degree,2
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,PHYSIOLOGICAL SCIENCE                                                                                                   ,1
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,PSYCHOBIOLOGY                                                                                                           ,2
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,PSYCHOLOGY                                                                                                              ,4
2010-11,Non-URM,Freshman,CHEMISTRY                                                                                                               ,SOCIOLOGY                                                                                                               ,1
2010-11,Non-URM,Freshman,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,1
2010-11,Non-URM,Freshman,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,MATHEMATICS/APPLIED SCIENCE                                                                                             ,1
2010-11,Non-URM,Freshman,EARTH AND ENVIRONMENTAL SCIENCE                                                                                         ,ANTHROPOLOGY                                                                                                            ,1
2010-11,Non-URM,Freshman,EARTH AND ENVIRONMENTAL SCIENCE                                                                                         ,ART HISTORY                                                                                                             ,1
2010-11,Non-URM,Freshman,EARTH AND ENVIRONMENTAL SCIENCE                                                                                         ,ENGLISH                                                                                                                 ,1
2010-11,Non-URM,Freshman,EARTH AND ENVIRONMENTAL SCIENCE                                                                                         ,GEOGRAPHY                                                                                                               ,1
2010-11,Non-URM,Freshman,EARTH AND ENVIRONMENTAL SCIENCE                                                                                         ,POLITICAL SCIENCE                                                                                                       ,1
2010-11,Non-URM,Freshman,GEOLOGY                                                                                                                 ,GEOLOGY                                                                                                                 ,1
2010-11,Non-URM,Freshman,GEOLOGY/ENGINEERING GEOLOGY                                                                                             ,No Degree,1
2010-11,Non-URM,Freshman,GEOPHYSICS/APPLIED GEOPHYSICS                                                                                           ,BIOPHYSICS                                                                                                              ,1
2010-11,Non-URM,Freshman,GEOPHYSICS/GEOPHYSICS AND SPACE PHYSICS                                                                                 ,GEOPHYSICS/APPLIED GEOPHYSICS                                                                                           ,1
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,AEROSPACE ENGINEERING                                                                                                   ,1
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,APPLIED MATHEMATICS                                                                                                     ,3
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,ATMOSPHERIC AND OCEANIC SCIENCES                                                                                        ,1
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,BUSINESS ECONOMICS                                                                                                      ,1
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,COGNITIVE SCIENCE                                                                                                       ,1
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,COMPUTER SCIENCE AND ENGINEERING                                                                                        ,1
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,ECONOMICS                                                                                                               ,2
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,ELECTRICAL ENGINEERING                                                                                                  ,2
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,ENGLISH                                                                                                                 ,2
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,GLOBAL STUDIES                                                                                                          ,1
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,LINGUISTICS AND COMPUTER SCIENCE                                                                                        ,1
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,LINGUISTICS AND PHILOSOPHY                                                                                              ,1
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,MATHEMATICS                                                                                                             ,8
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,MATHEMATICS FOR TEACHING                                                                                                ,1
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,MATHEMATICS OF COMPUTATION                                                                                              ,2
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,MATHEMATICS/APPLIED SCIENCE                                                                                             ,3
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,MATHEMATICS/ECONOMICS                                                                                                   ,4
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,No Degree,2
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,PHYSICS                                                                                                                 ,1
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,PSYCHOLOGY                                                                                                              ,1
2010-11,Non-URM,Freshman,MATHEMATICS                                                                                                             ,STATISTICS AND DATA SCIENCE                                                                                             ,4
2010-11,Non-URM,Freshman,MATHEMATICS FOR TEACHING                                                                                                ,BIOLOGY                                                                                                                 ,1
2010-11,Non-URM,Freshman,MATHEMATICS FOR TEACHING                                                                                                ,CLASSICAL CIVILIZATION                                                                                                  ,1
2010-11,Non-URM,Freshman,MATHEMATICS FOR TEACHING                                                                                                ,MATHEMATICS FOR TEACHING                                                                                                ,4
2010-11,Non-URM,Freshman,MATHEMATICS FOR TEACHING                                                                                                ,SOCIOLOGY                                                                                                               ,1
2010-11,Non-URM,Freshman,MATHEMATICS OF COMPUTATION                                                                                              ,APPLIED MATHEMATICS                                                                                                     ,1
2010-11,Non-URM,Freshman,MATHEMATICS OF COMPUTATION                                                                                              ,COMPUTER SCIENCE                                                                                                        ,1
2010-11,Non-URM,Freshman,MATHEMATICS OF COMPUTATION                                                                                              ,MATHEMATICS OF COMPUTATION                                                                                              ,3
2010-11,Non-URM,Freshman,MATHEMATICS OF COMPUTATION                                                                                              ,MATHEMATICS/ECONOMICS                                                                                                   ,1
2010-11,Non-URM,Freshman,MATHEMATICS OF COMPUTATION                                                                                              ,STATISTICS AND DATA SCIENCE                                                                                             ,1
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,AEROSPACE ENGINEERING                                                                                                   ,1
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,ANTHROPOLOGY-BS                                                                                                         ,2
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,APPLIED MATHEMATICS                                                                                                     ,5
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,BIOCHEMISTRY                                                                                                            ,1
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,BIOLOGY                                                                                                                 ,4
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,BUSINESS ECONOMICS                                                                                                      ,3
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,ECONOMICS                                                                                                               ,6
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,ELECTRICAL ENGINEERING                                                                                                  ,1
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,FINANCIAL ACTUARIAL MATHEMATICS                                                                                         ,2
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,HISTORY                                                                                                                 ,1
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,INTERNATIONAL DEVELOPMENT STUDIES                                                                                       ,1
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,MATHEMATICS/APPLIED SCIENCE                                                                                             ,13
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,MATHEMATICS/ECONOMICS                                                                                                   ,1
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",1
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,NEUROSCIENCE                                                                                                            ,1
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,No Degree,2
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,PHYSIOLOGICAL SCIENCE                                                                                                   ,1
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,PSYCHOBIOLOGY                                                                                                           ,2
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,PSYCHOLOGY                                                                                                              ,1
2010-11,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,STATISTICS AND DATA SCIENCE                                                                                             ,1
2010-11,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,AMERICAN LITERATURE AND CULTURE                                                                                         ,1
2010-11,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,APPLIED MATHEMATICS                                                                                                     ,1
2010-11,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,BUSINESS ECONOMICS                                                                                                      ,4
2010-11,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,ECONOMICS                                                                                                               ,10
2010-11,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,MATHEMATICS                                                                                                             ,1
2010-11,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,MATHEMATICS/APPLIED SCIENCE                                                                                             ,1
2010-11,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,MATHEMATICS/ECONOMICS                                                                                                   ,12
2010-11,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,No Degree,1
2010-11,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,PHILOSOPHY                                                                                                              ,1
2010-11,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,POLITICAL SCIENCE                                                                                                       ,1
2010-11,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,STATISTICS AND DATA SCIENCE                                                                                             ,2
2010-11,Non-URM,Freshman,PHYSICS                                                                                                                 ,APPLIED MATHEMATICS                                                                                                     ,1
2010-11,Non-URM,Freshman,PHYSICS                                                                                                                 ,BIOPHYSICS                                                                                                              ,1
2010-11,Non-URM,Freshman,PHYSICS                                                                                                                 ,BUSINESS ECONOMICS                                                                                                      ,2
2010-11,Non-URM,Freshman,PHYSICS                                                                                                                 ,EARTH AND ENVIRONMENTAL SCIENCE                                                                                         ,1
2010-11,Non-URM,Freshman,PHYSICS                                                                                                                 ,ECONOMICS                                                                                                               ,2
