cohort,urm,freshman_transfer,cohort_major_desc,deg_major_desc,headcount
2011-12,Non-URM,Freshman,BIOPHYSICS                                                                                                              ,PHYSIOLOGICAL SCIENCE                                                                                                   ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,ANTHROPOLOGY                                                                                                            ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,APPLIED MATHEMATICS                                                                                                     ,2
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,ASIAN AMERICAN STUDIES                                                                                                  ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,ASIAN HUMANITIES                                                                                                        ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,BIOCHEMISTRY                                                                                                            ,9
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,BIOLOGY                                                                                                                 ,3
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,BUSINESS ECONOMICS                                                                                                      ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,CHEMICAL ENGINEERING                                                                                                    ,2
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,CHEMISTRY                                                                                                               ,9
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,2
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,CLASSICAL CIVILIZATION                                                                                                  ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,COGNITIVE SCIENCE                                                                                                       ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,COMMUNICATION                                                                                                           ,2
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,COMPUTATIONAL AND SYSTEMS BIOLOGY                                                                                       ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,ECONOMICS                                                                                                               ,2
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,ENVIRONMENTAL SCIENCE                                                                                                   ,4
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,GENERAL CHEMISTRY                                                                                                       ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,HUMAN BIOLOGY AND SOCIETY - BA                                                                                          ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,JAPANESE                                                                                                                ,2
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,KOREAN                                                                                                                  ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,LINGUISTICS                                                                                                             ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,LINGUISTICS AND PSYCHOLOGY                                                                                              ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,MATERIALS ENGINEERING                                                                                                   ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",2
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,NEUROSCIENCE                                                                                                            ,2
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,No Degree,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,PHYSICS                                                                                                                 ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,POLITICAL SCIENCE                                                                                                       ,1
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,PSYCHOBIOLOGY                                                                                                           ,5
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,PSYCHOLOGY                                                                                                              ,2
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,SOCIOLOGY                                                                                                               ,3
2011-12,Non-URM,Freshman,CHEMISTRY                                                                                                               ,STATISTICS AND DATA SCIENCE                                                                                             ,1
2011-12,Non-URM,Freshman,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,CHEMISTRY                                                                                                               ,1
2011-12,Non-URM,Freshman,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,3
2011-12,Non-URM,Freshman,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,COMPUTER SCIENCE                                                                                                        ,1
2011-12,Non-URM,Freshman,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,ENVIRONMENTAL SCIENCE                                                                                                   ,1
2011-12,Non-URM,Freshman,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,MATERIALS ENGINEERING                                                                                                   ,1
2011-12,Non-URM,Freshman,EARTH AND ENVIRONMENTAL SCIENCE                                                                                         ,ECONOMICS                                                                                                               ,1
2011-12,Non-URM,Freshman,EARTH AND ENVIRONMENTAL SCIENCE                                                                                         ,ENVIRONMENTAL SCIENCE                                                                                                   ,1
2011-12,Non-URM,Freshman,GENERAL CHEMISTRY                                                                                                       ,No Degree,1
2011-12,Non-URM,Freshman,GEOLOGY/ENGINEERING GEOLOGY                                                                                             ,GEOPHYSICS/APPLIED GEOPHYSICS                                                                                           ,1
2011-12,Non-URM,Freshman,GEOLOGY/ENGINEERING GEOLOGY                                                                                             ,HISTORY                                                                                                                 ,1
2011-12,Non-URM,Freshman,GEOLOGY/PALEOBIOLOGY                                                                                                    ,ANTHROPOLOGY                                                                                                            ,1
2011-12,Non-URM,Freshman,GEOLOGY/PALEOBIOLOGY                                                                                                    ,GEOLOGY/PALEOBIOLOGY                                                                                                    ,1
2011-12,Non-URM,Freshman,GEOPHYSICS/APPLIED GEOPHYSICS                                                                                           ,GEOLOGY                                                                                                                 ,1
2011-12,Non-URM,Freshman,GEOPHYSICS/APPLIED GEOPHYSICS                                                                                           ,No Degree,1
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,APPLIED MATHEMATICS                                                                                                     ,5
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,ASIAN AMERICAN STUDIES                                                                                                  ,1
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,ASIAN HUMANITIES                                                                                                        ,2
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,ATMOSPHERIC AND OCEANIC SCIENCES                                                                                        ,1
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,CHEMICAL ENGINEERING                                                                                                    ,1
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,CHICANA AND CHICANO STUDIES                                                                                             ,1
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,ECONOMICS                                                                                                               ,1
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,ELECTRICAL ENGINEERING                                                                                                  ,1
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,ENGLISH                                                                                                                 ,1
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,FINANCIAL ACTUARIAL MATHEMATICS                                                                                         ,4
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,GEOGRAPHY                                                                                                               ,1
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,JAPANESE                                                                                                                ,1
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,MATHEMATICS                                                                                                             ,17
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,MATHEMATICS OF COMPUTATION                                                                                              ,1
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,MATHEMATICS/APPLIED SCIENCE                                                                                             ,2
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,MATHEMATICS/ECONOMICS                                                                                                   ,4
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,No Degree,2
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,POLITICAL SCIENCE                                                                                                       ,1
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,PSYCHOBIOLOGY                                                                                                           ,1
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,PSYCHOLOGY                                                                                                              ,3
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,SOCIOLOGY                                                                                                               ,1
2011-12,Non-URM,Freshman,MATHEMATICS                                                                                                             ,STATISTICS AND DATA SCIENCE                                                                                             ,2
2011-12,Non-URM,Freshman,MATHEMATICS FOR TEACHING                                                                                                ,ECONOMICS                                                                                                               ,1
2011-12,Non-URM,Freshman,MATHEMATICS FOR TEACHING                                                                                                ,MATHEMATICS FOR TEACHING                                                                                                ,2
2011-12,Non-URM,Freshman,MATHEMATICS FOR TEACHING                                                                                                ,MATHEMATICS/APPLIED SCIENCE                                                                                             ,1
2011-12,Non-URM,Freshman,MATHEMATICS FOR TEACHING                                                                                                ,No Degree,1
2011-12,Non-URM,Freshman,MATHEMATICS FOR TEACHING                                                                                                ,PSYCHOLOGY                                                                                                              ,1
2011-12,Non-URM,Freshman,MATHEMATICS OF COMPUTATION                                                                                              ,APPLIED MATHEMATICS                                                                                                     ,1
2011-12,Non-URM,Freshman,MATHEMATICS OF COMPUTATION                                                                                              ,ASIAN AMERICAN STUDIES                                                                                                  ,1
2011-12,Non-URM,Freshman,MATHEMATICS OF COMPUTATION                                                                                              ,COGNITIVE SCIENCE                                                                                                       ,1
2011-12,Non-URM,Freshman,MATHEMATICS OF COMPUTATION                                                                                              ,COMPUTER SCIENCE                                                                                                        ,2
2011-12,Non-URM,Freshman,MATHEMATICS OF COMPUTATION                                                                                              ,MATHEMATICS OF COMPUTATION                                                                                              ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,ANTHROPOLOGY                                                                                                            ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,APPLIED MATHEMATICS                                                                                                     ,2
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,ASTROPHYSICS                                                                                                            ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,BIOLOGY                                                                                                                 ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,BUSINESS ECONOMICS                                                                                                      ,2
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,COGNITIVE SCIENCE                                                                                                       ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,COMMUNICATION                                                                                                           ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,ECONOMICS                                                                                                               ,4
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,ELECTRICAL ENGINEERING                                                                                                  ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,ENVIRONMENTAL SCIENCE                                                                                                   ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,FINANCIAL ACTUARIAL MATHEMATICS                                                                                         ,8
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,HUMAN BIOLOGY AND SOCIETY - BA                                                                                          ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,LINGUISTICS AND ASIAN LANGUAGES AND CULTURES                                                                            ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,LINGUISTICS AND COMPUTER SCIENCE                                                                                        ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,MATHEMATICS                                                                                                             ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,MATHEMATICS OF COMPUTATION                                                                                              ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,MATHEMATICS/APPLIED SCIENCE                                                                                             ,16
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,MATHEMATICS/ECONOMICS                                                                                                   ,3
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,"MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,NEUROSCIENCE                                                                                                            ,2
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,No Degree,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,PHYSICS                                                                                                                 ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,POLITICAL SCIENCE                                                                                                       ,2
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,PSYCHOBIOLOGY                                                                                                           ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,PSYCHOLOGY                                                                                                              ,1
2011-12,Non-URM,Freshman,MATHEMATICS/APPLIED SCIENCE                                                                                             ,STATISTICS AND DATA SCIENCE                                                                                             ,4
2011-12,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,APPLIED MATHEMATICS                                                                                                     ,2
2011-12,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,BUSINESS ECONOMICS                                                                                                      ,6
2011-12,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,COMMUNICATION                                                                                                           ,1
2011-12,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,COMPUTER SCIENCE AND ENGINEERING                                                                                        ,1
2011-12,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,ECONOMICS                                                                                                               ,7
2011-12,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,ENVIRONMENTAL SCIENCE                                                                                                   ,1
2011-12,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,FINANCIAL ACTUARIAL MATHEMATICS                                                                                         ,3
2011-12,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,HISTORY                                                                                                                 ,1
2011-12,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,LINGUISTICS AND PSYCHOLOGY                                                                                              ,1
2011-12,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,MATHEMATICS                                                                                                             ,1
2011-12,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,MATHEMATICS OF COMPUTATION                                                                                              ,2
2011-12,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,MATHEMATICS/ECONOMICS                                                                                                   ,27
2011-12,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,No Degree,2
2011-12,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,PHILOSOPHY                                                                                                              ,1
2011-12,Non-URM,Freshman,MATHEMATICS/ECONOMICS                                                                                                   ,STATISTICS AND DATA SCIENCE                                                                                             ,1
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,AEROSPACE ENGINEERING                                                                                                   ,1
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,APPLIED MATHEMATICS                                                                                                     ,2
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,BIOCHEMISTRY                                                                                                            ,1
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,BUSINESS ECONOMICS                                                                                                      ,1
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,COGNITIVE SCIENCE                                                                                                       ,1
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,COMPUTER SCIENCE                                                                                                        ,1
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,ECONOMICS                                                                                                               ,1
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,ELECTRICAL ENGINEERING                                                                                                  ,1
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,ENVIRONMENTAL SCIENCE                                                                                                   ,1
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,GEOGRAPHY                                                                                                               ,1
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,GEOPHYSICS/GEOPHYSICS AND SPACE PHYSICS                                                                                 ,1
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,HISTORY                                                                                                                 ,2
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,LINGUISTICS AND COMPUTER SCIENCE                                                                                        ,1
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,MATHEMATICS                                                                                                             ,2
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,MATHEMATICS OF COMPUTATION                                                                                              ,2
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,MECHANICAL ENGINEERING                                                                                                  ,1
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",1
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,No Degree,8
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,PHYSICS                                                                                                                 ,27
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,PHYSICS-BA                                                                                                              ,2
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,POLITICAL SCIENCE                                                                                                       ,1
2011-12,Non-URM,Freshman,PHYSICS                                                                                                                 ,SOCIOLOGY                                                                                                               ,1
2011-12,Non-URM,Freshman,STATISTICS AND DATA SCIENCE                                                                                             ,APPLIED MATHEMATICS                                                                                                     ,1
2011-12,Non-URM,Freshman,STATISTICS AND DATA SCIENCE                                                                                             ,ASIAN AMERICAN STUDIES                                                                                                  ,1
2011-12,Non-URM,Freshman,STATISTICS AND DATA SCIENCE                                                                                             ,LINGUISTICS                                                                                                             ,1
2011-12,Non-URM,Freshman,STATISTICS AND DATA SCIENCE                                                                                             ,STATISTICS AND DATA SCIENCE                                                                                             ,5
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,ANTHROPOLOGY                                                                                                            ,1
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,APPLIED LINGUISTICS                                                                                                     ,1
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,APPLIED MATHEMATICS                                                                                                     ,8
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,ARCHITECTURAL STUDIES                                                                                                   ,1
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,ART HISTORY                                                                                                             ,1
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,ASIAN HUMANITIES                                                                                                        ,2
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,ATMOSPHERIC AND OCEANIC SCIENCES                                                                                        ,4
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,BIOCHEMISTRY                                                                                                            ,2
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,BIOLOGY                                                                                                                 ,8
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,BIOPHYSICS                                                                                                              ,2
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,BUSINESS ECONOMICS                                                                                                      ,2
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,CHEMISTRY                                                                                                               ,1
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,2
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,COGNITIVE SCIENCE                                                                                                       ,1
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,COMPUTER SCIENCE                                                                                                        ,1
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,ECONOMICS                                                                                                               ,12
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,ELECTRICAL ENGINEERING                                                                                                  ,1
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,ENVIRONMENTAL SCIENCE                                                                                                   ,3
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,FINANCIAL ACTUARIAL MATHEMATICS                                                                                         ,2
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,GEOGRAPHY                                                                                                               ,3
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,3
2011-12,Non-URM,Freshman,UNDECLARED-PHYSICAL SCIENCE                                                                                             ,GEOPHYSICS/APPLIED GEOPHYSICS                                                                                           ,1
